Brand,Out Date,Operating System,Weight,Series,Smartphone,Operating interface,RAM Capacity,CPU speed,CPU generation,Screen Size,Number of cores,Screen Resolution,pixels,FPS,Screen Type,Water resistance,Colors,GPU,Front camera,Camera,Fingerprint reader,WiFi,Min price,Max price,NFC,Bluetooth,Battery capacity,Page number
Apple,2022.0,iOS,206.0,iPhone 14 Pro,1,מסך מגע,6.0,,4.0,6.1,6.0,3013524.0,460.0,120.0,LTPO Super Retina XDR OLED,1,"שחור, סגול, כסוף, זהב",,12.0,72.0,0,1,4322.0,4896.0,1.0,5.3,,zap_1
Xiaomi,2023.0,Android,181.0,Poco X5 Pro,1,מסך מגע,8.0,6500.0,5.0,6.67,8.0,2592000.0,395.0,120.0,Super AMOLED,1,שחור,,16.0,118.0,1,1,1185.0,1650.0,1.0,5.2,5000.0,zap_1
Apple,2022.0,iOS,240.0,iPhone 14 Pro Max,1,מסך מגע,6.0,,4.0,6.7,,3606840.0,460.0,120.0,LTPO Super Retina XDR OLED,1,"שחור, סגול, כסוף, זהב",,12.0,72.0,0,1,4907.0,6449.0,1.0,5.3,,zap_1
Samsung,2020.0,Android,190.0,Galaxy S20,1,מסך מגע,8.0,7230.0,5.0,6.5,8.0,2592000.0,407.0,,Super AMOLED,1,"לבן, כחול, אדום, כתום, תכלת",Micro SD/T-Flash,32.0,32.0,1,1,1277.0,1649.0,1.0,5.0,4500.0,zap_1
Samsung,2022.0,Android,181.0,Galaxy A73,1,מסך מגע,8.0,4200.0,4.0,6.7,8.0,2592000.0,393.0,120.0,Super AMOLED Plus,1,"לבן, אפור",microSDXC,32.0,130.0,1,1,1374.0,2200.0,1.0,5.0,5000.0,zap_1
Apple,2022.0,iOS,206.0,iPhone 14 Pro,1,מסך מגע,6.0,,4.0,6.1,,3013524.0,460.0,120.0,LTPO Super Retina XDR OLED,1,"שחור, סגול, כסוף, זהב",,12.0,72.0,0,1,4548.0,5600.0,1.0,5.3,,zap_1
Apple,2020.0,iOS,164.0,iPhone 12,1,מסך מגע,,,5.0,6.1,8.0,2962440.0,460.0,,"OLED, Super Retina",1,"שחור, לבן, כחול, אדום, ירוק",,12.0,24.0,0,1,2198.0,3699.0,1.0,5.0,,zap_1
Samsung,2023.0,Android,202.0,Galaxy A54,1,מסך מגע,8.0,4400.0,5.0,6.4,8.0,2527200.0,403.0,120.0,Super AMOLED,1,"לבן, צהוב",microSDXC,32.0,67.0,1,1,1374.0,1801.0,1.0,5.3,5000.0,zap_1
Samsung,2022.0,Android,195.0,Galaxy A23,1,מסך מגע,4.0,4300.0,4.0,6.6,8.0,2600640.0,400.0,90.0,PLS LCD,0,"שחור, לבן, כחול",microSDXC,8.0,59.0,1,1,702.0,939.0,0.0,5.0,5000.0,zap_1
Samsung,2022.0,Android,167.0,Galaxy S22,1,מסך מגע,8.0,7100.0,4.0,6.1,8.0,2527200.0,425.0,120.0,Dynamic AMOLED 2X,1,"שחור, לבן, ירוק, תכלת, ורוד זהב",,10.0,72.0,1,1,2226.0,2945.0,1.0,5.2,3700.0,zap_1
Samsung,2023.0,Android,168.0,Galaxy S23,1,מסך מגע,8.0,10960.0,5.0,6.1,8.0,2527200.0,422.0,120.0,Dynamic AMOLED 2X,1,"שחור, ירוק",,12.0,72.0,1,1,2617.0,3225.0,1.0,5.3,3900.0,zap_1
Samsung,2023.0,Android,196.0,Galaxy S23 Plus,1,מסך מגע,8.0,10960.0,5.0,6.6,8.0,2527200.0,390.0,120.0,Dynamic AMOLED 2X,1,"שחור, ירוק",,12.0,72.0,1,1,3363.0,4080.0,1.0,5.3,4700.0,zap_1
Apple,2022.0,iOS,172.0,iPhone 14,1,מסך מגע,4.0,5050.0,4.0,6.1,6.0,2962440.0,460.0,,Super Retina XDR OLED,1,"כחול, סגול, אדום",,12.0,24.0,0,1,3013.0,3899.0,1.0,5.3,,zap_1
Xiaomi,2022.0,Android,179.0,Redmi Note 11,1,מסך מגע,6.0,4300.0,4.0,6.43,8.0,2592000.0,409.0,90.0,AMOLED,1,"לבן, כחול, אפור",microSDXC,13.0,62.0,1,1,680.0,999.0,1.0,5.0,5000.0,zap_1
Samsung,2022.0,Android,181.0,Galaxy A73,1,מסך מגע,8.0,4200.0,4.0,6.7,8.0,2592000.0,393.0,120.0,Super AMOLED Plus,1,"לבן, אפור",microSDXC,32.0,130.0,1,1,1374.0,2200.0,1.0,5.0,5000.0,zap_1
Apple,2022.0,iOS,206.0,iPhone 14 Pro,1,מסך מגע,6.0,,4.0,6.1,,3013524.0,460.0,120.0,LTPO Super Retina XDR OLED,1,"שחור, סגול, כסוף, זהב",,12.0,72.0,0,1,4548.0,5600.0,1.0,5.3,,zap_1
Xiaomi,2022.0,Android,187.0,Redmi Note 12 Pro,1,מסך מגע,8.0,4600.0,5.0,6.67,8.0,2592000.0,395.0,120.0,OLED,1,"שחור, לבן, כחול, סגול",,16.0,60.0,1,1,1297.0,1555.0,1.0,5.2,5000.0,zap_1
Xiaomi,2022.0,Android,187.0,Redmi Note 12 Pro,1,מסך מגע,8.0,4600.0,5.0,6.67,8.0,2592000.0,395.0,120.0,OLED,1,"שחור, לבן, כחול, סגול",,16.0,60.0,1,1,1297.0,1555.0,1.0,5.2,5000.0,zap_1
Samsung,2022.0,Android,195.0,Galaxy A23,1,מסך מגע,4.0,4300.0,4.0,6.6,8.0,2600640.0,400.0,90.0,PLS LCD,0,"שחור, לבן, כחול",microSDXC,8.0,59.0,1,1,702.0,939.0,0.0,5.0,5000.0,zap_1
Apple,2020.0,iOS,164.0,iPhone 12,1,מסך מגע,,,5.0,6.1,8.0,2962440.0,460.0,,"OLED, Super Retina",1,"שחור, לבן, כחול, אדום, ירוק",,12.0,24.0,0,1,2198.0,3699.0,1.0,5.0,,zap_1
Samsung,2022.0,Android,167.0,Galaxy S22,1,מסך מגע,8.0,7100.0,4.0,6.1,8.0,2527200.0,425.0,120.0,Dynamic AMOLED 2X,1,"שחור, לבן, ירוק, תכלת, ורוד זהב",,10.0,72.0,1,1,2046.0,2899.0,1.0,5.2,3700.0,zap_1
Samsung,2022.0,Android,167.0,Galaxy S22,1,מסך מגע,8.0,7100.0,4.0,6.1,8.0,2527200.0,425.0,120.0,Dynamic AMOLED 2X,1,"שחור, לבן, ירוק, תכלת, ורוד זהב",,10.0,72.0,1,1,2226.0,2945.0,1.0,5.2,3700.0,zap_1
Samsung,2023.0,Android,202.0,Galaxy A54,1,מסך מגע,8.0,4400.0,5.0,6.4,8.0,2527200.0,403.0,120.0,Super AMOLED,1,"לבן, צהוב",microSDXC,32.0,67.0,1,1,1374.0,1801.0,1.0,5.3,5000.0,zap_1
Samsung,,Android,190.0,Galaxy A53,1,מסך מגע,8.0,4400.0,4.0,6.46,8.0,2592000.0,407.0,120.0,Super AMOLED,1,שחור,microSDXC,32.0,86.0,1,1,1185.0,1620.0,1.0,5.2,5000.0,zap_1
Samsung,2022.0,Android,167.0,Galaxy S22,1,מסך מגע,8.0,7100.0,4.0,6.1,8.0,2527200.0,425.0,120.0,Dynamic AMOLED 2X,1,"שחור, לבן, ירוק, תכלת, ורוד זהב",,10.0,72.0,1,1,2046.0,2899.0,1.0,5.2,3700.0,zap_1
Apple,2022.0,iOS,240.0,iPhone 14 Pro Max,1,מסך מגע,6.0,,4.0,6.7,,3606840.0,460.0,120.0,LTPO Super Retina XDR OLED,1,"שחור, סגול, כסוף, זהב",,12.0,72.0,0,1,4907.0,6449.0,1.0,5.3,,zap_1
Samsung,,Android,190.0,Galaxy A53,1,מסך מגע,8.0,4400.0,4.0,6.46,8.0,2592000.0,407.0,120.0,Super AMOLED,1,שחור,microSDXC,32.0,86.0,1,1,1185.0,1620.0,1.0,5.2,5000.0,zap_1
Samsung,2022.0,Android,228.0,Galaxy S22,1,מסך מגע,12.0,7100.0,4.0,6.8,8.0,4446720.0,500.0,120.0,Dynamic AMOLED 2X,1,"שחור, לבן, אדום, ירוק, תכלת",,40.0,140.0,1,1,3418.0,4589.0,1.0,5.2,5000.0,zap_1
Samsung,2023.0,Android,168.0,Galaxy S23,1,מסך מגע,8.0,10960.0,5.0,6.1,8.0,2527200.0,422.0,120.0,Dynamic AMOLED 2X,1,"שחור, ירוק",,12.0,72.0,1,1,2617.0,3225.0,1.0,5.3,3900.0,zap_1
Apple,2021.0,iOS,174.0,iPhone 13,1,מסך מגע,4.0,,5.0,6.1,6.0,2962440.0,460.0,,Super Retina,1,"שחור, כחול, אדום, ורוד",,12.0,24.0,0,1,2833.0,3699.0,1.0,5.0,,zap_1
Samsung,2023.0,Android,196.0,Galaxy S23 Plus,1,מסך מגע,8.0,10960.0,5.0,6.6,8.0,2527200.0,390.0,120.0,Dynamic AMOLED 2X,1,"שחור, ירוק",,12.0,72.0,1,1,3363.0,4080.0,1.0,5.3,4700.0,zap_1
Samsung,2023.0,Android,234.0,Galaxy S23 Ultra,1,מסך מגע,12.0,10960.0,5.0,6.8,8.0,4446720.0,501.0,120.0,Dynamic AMOLED 2X,1,"שחור, ירוק",,12.0,232.0,1,1,4005.0,4925.0,1.0,5.3,5000.0,zap_1
Samsung,2023.0,Android,234.0,Galaxy S23 Ultra,1,מסך מגע,512.0,8960.0,5.0,6.8,5.0,4446720.0,501.0,120.0,Dynamic AMOLED 2X,1,"שחור, ירוק",,12.0,232.0,1,1,4489.0,5425.0,1.0,5.3,5000.0,zap_1
Samsung,2020.0,Android,190.0,Galaxy S20,1,מסך מגע,8.0,7230.0,5.0,6.5,8.0,2592000.0,407.0,,Super AMOLED,1,"לבן, כחול, אדום, כתום, תכלת",Micro SD/T-Flash,32.0,32.0,1,1,1277.0,1649.0,1.0,5.0,4500.0,zap_1
Samsung,2023.0,Android,168.0,Galaxy S23,1,מסך מגע,8.0,10960.0,5.0,6.1,8.0,2527200.0,422.0,120.0,Dynamic AMOLED 2X,1,"שחור, ירוק",,12.0,72.0,1,1,2899.0,3475.0,1.0,5.3,3900.0,zap_1
Xiaomi,2023.0,Android,181.0,Poco X5 Pro,1,מסך מגע,8.0,6500.0,5.0,6.67,8.0,2592000.0,395.0,120.0,Super AMOLED,1,שחור,,16.0,118.0,1,1,1185.0,1650.0,1.0,5.2,5000.0,zap_1
Apple,2022.0,iOS,206.0,iPhone 14 Pro,1,מסך מגע,6.0,,4.0,6.1,6.0,3013524.0,460.0,120.0,LTPO Super Retina XDR OLED,1,"שחור, סגול, כסוף, זהב",,12.0,72.0,0,1,4322.0,4896.0,1.0,5.3,,zap_1
Apple,2022.0,iOS,240.0,iPhone 14 Pro Max,1,מסך מגע,6.0,,4.0,6.7,,3606840.0,460.0,120.0,LTPO Super Retina XDR OLED,1,"שחור, סגול, כסוף, זהב",,12.0,72.0,0,1,4540.0,5500.0,1.0,5.3,,zap_1
Apple,2019.0,iOS,194.0,iPhone 11,1,מסך מגע,4.0,4450.0,4.0,6.1,6.0,1483776.0,326.0,,Super Retina,1,"שחור, לבן, סגול, אדום, צהוב, ירוק",,12.0,24.0,0,1,1819.0,2690.0,1.0,5.0,3110.0,zap_2
Samsung,2023.0,Android,201.0,Galaxy A14,1,מסך מגע,4.0,3800.0,4.0,6.6,8.0,2600640.0,400.0,,PLS LCD,0,"שחור, אדום, כסוף, ירוק",microSDXC,13.0,57.0,1,1,553.0,799.0,1.0,5.1,5000.0,zap_2
Apple,2021.0,iOS,240.0,iPhone 13,1,מסך מגע,6.0,,5.0,6.7,6.0,3566952.0,458.0,,Super Retina,1,"כחול, אפור, כסוף, זהב",,12.0,36.0,0,1,4418.0,5355.0,1.0,5.0,,zap_2
Samsung,2020.0,Android,208.0,Galaxy Note 20,1,מסך מגע,12.0,7230.0,5.0,6.9,8.0,4446720.0,494.0,120.0,Dynamic AMOLED,1,"שחור, לבן",Micro SD/T-Flash,10.0,132.0,1,1,2470.0,3799.0,1.0,5.0,4500.0,zap_2
OnePlus,2022.0,Android,201.0,10 Pro,1,מסך מגע,12.0,7300.0,4.0,6.7,8.0,4631040.0,525.0,120.0,LTPO2 Fluid AMOLED,1,"שחור, לבן",,32.0,106.0,1,1,2517.0,3749.0,1.0,5.2,5000.0,zap_2
Apple,2021.0,iOS,141.0,iPhone 13,1,מסך מגע,4.0,,5.0,5.4,6.0,2527200.0,476.0,,Super Retina,1,"שחור, כחול, אדום, ורוד",,12.0,24.0,0,1,2350.0,2999.0,1.0,5.0,,zap_2
Apple,2022.0,iOS,203.0,iPhone 14 Plus,1,מסך מגע,6.0,5050.0,4.0,6.7,6.0,3566952.0,458.0,,Super Retina XDR OLED,1,"כחול, סגול, אדום",,12.0,24.0,0,1,3666.0,4399.0,1.0,5.3,,zap_2
Samsung,2023.0,Android,199.0,Galaxy A34,1,מסך מגע,6.0,4600.0,4.0,6.6,8.0,2527200.0,390.0,120.0,Super AMOLED,1,"כסוף, צהוב",microSDXC,13.0,61.0,1,1,1115.0,1351.0,1.0,5.3,5000.0,zap_2
Apple,2021.0,iOS,174.0,iPhone 13,1,מסך מגע,4.0,,5.0,6.1,6.0,2962440.0,460.0,,Super Retina,1,"שחור, כחול, אדום, ורוד",,12.0,24.0,0,1,3217.0,4140.0,1.0,5.0,,zap_2
Apple,2020.0,iOS,189.0,iPhone 12 Pro,1,מסך מגע,,,5.0,6.1,6.0,2962440.0,460.0,,Super Retina,1,"כחול, אפור, כסוף, זהב",,12.0,36.0,0,1,3450.0,4799.0,1.0,5.0,,zap_2
Xiaomi,2023.0,Android,,Poco X5,1,מסך מגע,8.0,4000.0,5.0,6.67,8.0,2592000.0,395.0,120.0,AMOLED,0,שחור,microSDHC,13.0,58.0,1,1,1027.0,1499.0,1.0,5.3,5000.0,zap_2
Samsung,2023.0,Android,199.0,Galaxy M54,1,מסך מגע,8.0,4400.0,5.0,6.7,8.0,2592000.0,393.0,120.0,Super AMOLED Plus,0,"כסוף, כחול כהה",microSDXC,32.0,118.0,1,1,1820.0,2029.0,1.0,5.3,6000.0,zap_2
Samsung,2022.0,Android,186.0,Galaxy A33,1,מסך מגע,6.0,4400.0,4.0,6.4,8.0,2592000.0,411.0,90.0,Super AMOLED,1,"שחור, לבן, כחול",microSDXC,13.0,63.0,1,1,1045.0,1300.0,1.0,5.1,5000.0,zap_2
Google,2022.0,Android,178.0,Pixel 6a,1,מסך מגע,6.0,6850.0,4.0,6.1,8.0,2592000.0,429.0,,OLED,1,"פחם, גיר",,8.0,24.2,1,1,1274.0,1489.0,1.0,5.2,4410.0,zap_2
Apple,2021.0,iOS,204.0,iPhone 13,1,מסך מגע,6.0,,5.0,6.1,6.0,2962440.0,460.0,,Super Retina,1,"כחול, אפור, כסוף, זהב",,12.0,36.0,0,1,3610.0,4499.0,1.0,5.0,,zap_2
Apple,2020.0,iOS,189.0,iPhone 12 Pro,1,מסך מגע,,,5.0,6.1,6.0,2962440.0,460.0,,Super Retina,1,"כחול, אפור, כסוף, זהב",,12.0,36.0,0,1,3450.0,4799.0,1.0,5.0,,zap_2
Google,2022.0,Android,197.0,Pixel 7,1,מסך מגע,8.0,7000.0,4.0,6.3,8.0,2592000.0,416.0,90.0,AMOLED,1,"לבן, צהוב",,10.8,62.0,1,1,2115.0,2499.0,1.0,5.2,4355.0,zap_2
Apple,2021.0,iOS,204.0,iPhone 13,1,מסך מגע,6.0,,5.0,6.1,6.0,2962440.0,460.0,,Super Retina,1,"כחול, אפור, כסוף, זהב",,12.0,36.0,0,1,3610.0,4499.0,1.0,5.0,,zap_2
Samsung,2023.0,Android,201.0,Galaxy A14,1,מסך מגע,4.0,3800.0,4.0,6.6,8.0,2600640.0,400.0,,PLS LCD,0,"שחור, אדום, כסוף, ירוק",microSDXC,13.0,57.0,1,1,553.0,799.0,1.0,5.1,5000.0,zap_2
Apple,2019.0,iOS,194.0,iPhone 11,1,מסך מגע,4.0,4450.0,4.0,6.1,6.0,1483776.0,326.0,,Super Retina,1,"שחור, לבן, סגול, אדום, צהוב, ירוק",,12.0,24.0,0,1,1819.0,2690.0,1.0,5.0,3110.0,zap_2
Google,2022.0,Android,212.0,Pixel 7 Pro,1,מסך מגע,12.0,7000.0,4.0,6.7,8.0,4492800.0,512.0,120.0,LTPO AMOLED,1,,,10.8,110.0,1,1,3509.0,3899.0,1.0,5.2,5000.0,zap_2
Apple,2019.0,iOS,194.0,iPhone 11,1,מסך מגע,4.0,4450.0,4.0,6.1,6.0,1483776.0,326.0,,Super Retina,1,"שחור, לבן, סגול, אדום, צהוב, ירוק",,12.0,24.0,0,1,1819.0,2690.0,1.0,5.0,3110.0,zap_2
Samsung,2023.0,Android,201.0,Galaxy A14,1,מסך מגע,4.0,3800.0,4.0,6.6,8.0,2600640.0,400.0,,PLS LCD,0,"שחור, אדום, כסוף, ירוק",microSDXC,13.0,57.0,1,1,553.0,799.0,1.0,5.1,5000.0,zap_2
Samsung,2023.0,Android,199.0,Galaxy M54,1,מסך מגע,8.0,4400.0,5.0,6.7,8.0,2592000.0,393.0,120.0,Super AMOLED Plus,0,"כסוף, כחול כהה",microSDXC,32.0,118.0,1,1,1820.0,2029.0,1.0,5.3,6000.0,zap_2
Google,2022.0,Android,197.0,Pixel 7,1,מסך מגע,8.0,7000.0,4.0,6.3,8.0,2592000.0,416.0,90.0,AMOLED,1,"לבן, צהוב",,10.8,62.0,1,1,2115.0,2499.0,1.0,5.2,4355.0,zap_2
Apple,2020.0,iOS,189.0,iPhone 12 Pro,1,מסך מגע,,,5.0,6.1,6.0,2962440.0,460.0,,Super Retina,1,"כחול, אפור, כסוף, זהב",,12.0,36.0,0,1,3450.0,4799.0,1.0,5.0,,zap_2
Apple,2021.0,iOS,204.0,iPhone 13,1,מסך מגע,6.0,,5.0,6.1,6.0,2962440.0,460.0,,Super Retina,1,"כחול, אפור, כסוף, זהב",,12.0,36.0,0,1,3610.0,4499.0,1.0,5.0,,zap_2
Google,2022.0,Android,178.0,Pixel 6a,1,מסך מגע,6.0,6850.0,4.0,6.1,8.0,2592000.0,429.0,,OLED,1,"פחם, גיר",,8.0,24.2,1,1,1274.0,1489.0,1.0,5.2,4410.0,zap_2
Apple,2021.0,iOS,204.0,iPhone 13,1,מסך מגע,6.0,,5.0,6.1,6.0,2962440.0,460.0,,Super Retina,1,"כחול, אפור, כסוף, זהב",,12.0,36.0,0,1,3610.0,4499.0,1.0,5.0,,zap_2
Apple,2020.0,iOS,228.0,iPhone 12 Pro Max,1,מסך מגע,,,5.0,6.7,6.0,3566952.0,458.0,,Super Retina,1,"כחול, אפור, כסוף, זהב",,12.0,36.0,0,1,3449.0,4799.0,1.0,5.0,,zap_2
Samsung,2022.0,Android,195.0,Galaxy A13,1,מסך מגע,4.0,4000.0,4.0,6.6,8.0,2600640.0,400.0,,PLS LCD,0,"שחור, לבן, כחול",microSDXC,8.0,59.0,1,1,554.0,718.0,1.0,5.0,5000.0,zap_2
OnePlus,2023.0,Android,205.0,11,1,מסך מגע,16.0,10800.0,5.0,6.7,8.0,4631040.0,525.0,120.0,LTPO3 Fluid AMOLED,1,"שחור, ירוק",,16.0,130.0,1,1,3372.0,3579.0,1.0,5.3,5000.0,zap_2
OnePlus,2023.0,Android,205.0,11,1,מסך מגע,16.0,10800.0,5.0,6.7,8.0,4631040.0,525.0,120.0,LTPO3 Fluid AMOLED,1,"שחור, ירוק",,16.0,130.0,1,1,3372.0,3579.0,1.0,5.3,5000.0,zap_2
Apple,2022.0,iOS,172.0,iPhone 14,1,מסך מגע,6.0,5050.0,4.0,6.1,6.0,2962440.0,460.0,,Super Retina XDR OLED,1,"כחול, סגול, אדום",,12.0,24.0,0,1,3676.0,4499.0,1.0,5.3,,zap_2
Apple,2021.0,iOS,204.0,iPhone 13,1,מסך מגע,6.0,,5.0,6.1,6.0,2962440.0,460.0,,Super Retina,1,"כחול, אפור, כסוף, זהב",,12.0,36.0,0,1,4112.0,4849.0,1.0,5.0,,zap_2
Samsung,2020.0,Android,208.0,Galaxy Note 20,1,מסך מגע,12.0,7230.0,5.0,6.9,8.0,4446720.0,494.0,120.0,Dynamic AMOLED,1,"שחור, לבן",Micro SD/T-Flash,10.0,132.0,1,1,2470.0,3799.0,1.0,5.0,4500.0,zap_2
Apple,2020.0,iOS,228.0,iPhone 12 Pro Max,1,מסך מגע,,,5.0,6.7,6.0,3566952.0,458.0,,Super Retina,1,"כחול, אפור, כסוף, זהב",,12.0,36.0,0,1,3449.0,4799.0,1.0,5.0,,zap_2
Apple,2021.0,iOS,174.0,iPhone 13,1,מסך מגע,4.0,,5.0,6.1,6.0,2962440.0,460.0,,Super Retina,1,"שחור, כחול, אדום, ורוד",,12.0,24.0,0,1,3217.0,4140.0,1.0,5.0,,zap_2
Samsung,2023.0,Android,199.0,Galaxy M54,1,מסך מגע,8.0,4400.0,5.0,6.7,8.0,2592000.0,393.0,120.0,Super AMOLED Plus,0,"כסוף, כחול כהה",microSDXC,32.0,118.0,1,1,1820.0,2029.0,1.0,5.3,6000.0,zap_2
Apple,2022.0,iOS,172.0,iPhone 14,1,מסך מגע,6.0,5050.0,4.0,6.1,6.0,2962440.0,460.0,,Super Retina XDR OLED,1,"כחול, סגול, אדום",,12.0,24.0,0,1,3676.0,4499.0,1.0,5.3,,zap_2
Samsung,2022.0,Android,192.0,Galaxy A04,1,מסך מגע,4.0,4100.0,4.0,6.5,8.0,1152000.0,270.0,,PLS LCD,0,"שחור, לבן, ירוק",microSDXC,5.0,52.0,0,1,426.0,599.0,0.0,5.0,5000.0,zap_2
Samsung,2022.0,Android,186.0,Galaxy A33,1,מסך מגע,6.0,4400.0,4.0,6.4,8.0,2592000.0,411.0,90.0,Super AMOLED,1,"שחור, לבן, כחול",microSDXC,13.0,63.0,1,1,1045.0,1300.0,1.0,5.1,5000.0,zap_2
Google,2022.0,Android,212.0,Pixel 7 Pro,1,מסך מגע,12.0,7000.0,4.0,6.7,8.0,4492800.0,512.0,120.0,LTPO AMOLED,1,,,10.8,110.0,1,1,3509.0,3899.0,1.0,5.2,5000.0,zap_2
Samsung,2021.0,Android,169.0,Galaxy S21,1,מסך מגע,8.0,7900.0,5.0,6.2,8.0,2592000.0,421.0,120.0,Dynamic AMOLED 2X,1,"לבן, אפור, ורוד",,10.0,88.0,1,1,1689.0,2649.0,1.0,5.0,4000.0,zap_2
OnePlus,2022.0,Android,201.0,10 Pro,1,מסך מגע,12.0,7300.0,4.0,6.7,8.0,4631040.0,525.0,120.0,LTPO2 Fluid AMOLED,1,"שחור, לבן",,32.0,106.0,1,1,2517.0,3749.0,1.0,5.2,5000.0,zap_2
Google,2022.0,Android,197.0,Pixel 7,1,מסך מגע,8.0,7000.0,4.0,6.3,8.0,2592000.0,416.0,90.0,AMOLED,1,"לבן, צהוב",,10.8,62.0,1,1,2115.0,2499.0,1.0,5.2,4355.0,zap_2
Apple,2021.0,iOS,240.0,iPhone 13,1,מסך מגע,6.0,,5.0,6.7,6.0,3566952.0,458.0,,Super Retina,1,"כחול, אפור, כסוף, זהב",,12.0,36.0,0,1,4418.0,5355.0,1.0,5.0,,zap_2
Apple,2021.0,iOS,204.0,iPhone 13,1,מסך מגע,6.0,,5.0,6.1,6.0,2962440.0,460.0,,Super Retina,1,"כחול, אפור, כסוף, זהב",,12.0,36.0,0,1,4112.0,4849.0,1.0,5.0,,zap_2
Apple,2021.0,iOS,141.0,iPhone 13,1,מסך מגע,4.0,,5.0,5.4,6.0,2527200.0,476.0,,Super Retina,1,"שחור, כחול, אדום, ורוד",,12.0,24.0,0,1,2350.0,2999.0,1.0,5.0,,zap_2
Samsung,2022.0,Android,192.0,Galaxy A04,1,מסך מגע,4.0,4100.0,4.0,6.5,8.0,1152000.0,270.0,,PLS LCD,0,"שחור, לבן, ירוק",microSDXC,5.0,52.0,0,1,426.0,599.0,0.0,5.0,5000.0,zap_2
Google,2022.0,Android,178.0,Pixel 6a,1,מסך מגע,6.0,6850.0,4.0,6.1,8.0,2592000.0,429.0,,OLED,1,"פחם, גיר",,8.0,24.2,1,1,1274.0,1489.0,1.0,5.2,4410.0,zap_2
Samsung,2021.0,Android,169.0,Galaxy S21,1,מסך מגע,8.0,7900.0,5.0,6.2,8.0,2592000.0,421.0,120.0,Dynamic AMOLED 2X,1,"לבן, אפור, ורוד",,10.0,88.0,1,1,1689.0,2649.0,1.0,5.0,4000.0,zap_2
Apple,2022.0,iOS,203.0,iPhone 14 Plus,1,מסך מגע,6.0,5050.0,4.0,6.7,6.0,3566952.0,458.0,,Super Retina XDR OLED,1,"כחול, סגול, אדום",,12.0,24.0,0,1,3666.0,4399.0,1.0,5.3,,zap_2
